"#","kpi_layer","role","data_role","antifragility_property","theme","source_deliverable","section","original_term","standardised_variable_name","definition","unit","spatial_scale","temporal_scale","static_or_dynamic","time_series_possible","update_frequency","data_type","expected_data_source","availability","availability_notes","proxy_possible","proxy_variable","collection_method","priority","remarks"
"154","Layer 1","KPI","input","General/Context","environment","D2.7","§B.3 Table 9.3","""Ecological degradation — transport-induced ecological stress (e.g., land/ecosystem impacts, degradation proxies)""","transport_ecological_degradation","Composite indicator of transport-induced ecological stress: land consumption, habitat fragmentation, runoff pollution, and ecosystem impact","categorical or index","city","annual","quasi-static","yes","annual","categorical","Environmental impact assessments; GIS land cover; national environmental monitoring","partial","D2.7 catalogue KPI group B.3 (5 KPIs, 0% commonly selected in survey)","yes","green_space_area_per_capita","Environmental impact assessment; satellite land cover analysis","low","D2.7 Group B, Subgroup Ecological degradation; not commonly selected in survey"
"155","Layer 1","KPI","input","General/Context","demand","D2.7","§C.1 Table 9.3; Table 3.1","""Non-motorized transport demand""","non_motorised_transport_demand","Volume of trips made by non-motorised modes (walking, cycling) per day or per capita; indicator of active mobility uptake","trips/day or trips · capita⁻¹ · day⁻¹","city","daily","dynamic","yes","daily","numeric","Counting stations; GPS/mobile phone data; travel surveys","partial","D2.7 catalogue KPI C.3 subgroup (Travel demand); commonly selected in survey","yes","modal_split_vector","Pedestrian/cycling count stations; survey","high","D2.7 Group C, Subgroup Travel demand; active mobility component"
"156","Layer 1","KPI","input","General/Context","demand","D2.7","§C.3 Table 9.3; Table 3.1","""PT demand — Public transport demand""","public_transport_demand","Total daily ridership across all public transport modes (bus, metro, tram, rail) within the urban area","trips/day or passenger-km/day","city","daily","dynamic","yes","daily","numeric","AFC smart-card; GTFS real-time; operator records","available (partial)","D2.7 catalogue KPI C.3 subgroup; commonly selected","no","—","AFC aggregation; GTFS ridership reporting","high","D2.7 Group C, Subgroup Travel demand"
"157","Layer 1","KPI","input","General/Context","supply","D2.7 · D2.7 (Table 3.1: ""Average public transport speed""; catalogue KPI C.4)","§C.4 Table 9.3; Table 3.1","""Average public transport speed""","avg_public_transport_speed","Mean operating speed of public transport vehicles across the network during peak and off-peak periods","km/h","city","hourly","dynamic","yes","hourly","numeric","GTFS real-time; GPS vehicle tracking; operator logs","available (partial)","D2.7 catalogue KPI C.4 subgroup; commonly selected","yes","vehicle_travel_times","GTFS real-time; on-board GPS","medium","D2.7 Group C, Subgroup Transport characteristics"
"158","Layer 1","KPI","input","General/Context","supply","D2.7","§C.4 Table 9.3; Table 3.1","""Ridership — quantity of passengers using public transport""","public_transport_ridership","Total number of passengers using public transport services per day or per period; distinct from demand (measures actual boardings, not trip demand)","passengers/day","city","daily","dynamic","yes","daily","numeric","AFC smart-card; ticket sales; on-board counters","available (partial)","D2.7 catalogue KPI C.4 subgroup; commonly selected","no","—","AFC smart-card; on-board passenger counters","high","D2.7 Group C, Subgroup Transport characteristics; distinct from demand (actual vs. modelled)"
"159","Layer 1","KPI","input","General/Context","supply","D2.7","§C.4 Table 9.3","""Freight ton-km — total freight transport performance""","freight_ton_km","Total freight transported multiplied by distance (tonne-kilometres); measure of freight system performance and modal efficiency","tonne-km · year⁻¹","city","annual","dynamic","yes","annual","numeric","National freight statistics; transport operator records; Eurostat","partial","D2.7 catalogue KPI C.4 subgroup","yes","road_cargo_turnover","National freight statistics; Eurostat reporting","low","D2.7 Group C, Subgroup Transport characteristics"
"160","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§D.2 Table 9.3","""Laws and regulations — safety control enforcement and compliance indicators""","safety_laws_compliance_rate","Rate of compliance with transport safety laws and regulations; measured through enforcement actions, violation rates, and control check outcomes","% compliant or violations per 1000 vehicles","city","annual","quasi-static","yes","annual","numeric","Traffic police records; transport authority enforcement data","partial","D2.7 catalogue KPI D.2, Subgroup Safety control","yes","accident_rate","Police enforcement records; transport authority","medium","D2.7 Group D, Subgroup Safety control"
"161","Layer 1","KPI","output","Cross-System Integration","supply","D2.7","§D.2 Table 9.3","""ICT uptime — Percentage uptime of telecommunication-control systems critical to transport and mobility operations""","transport_ict_uptime","Percentage of time that ICT systems critical to transport operations (traffic signals, SCADA, communication networks) remain operational; distinct from D2.3 E_ICT(t) which focuses on telecom during events","%","city","daily","dynamic","yes","daily","numeric","SCADA monitoring; transport TMC logs; IT system monitoring","partial","D2.7 catalogue KPI D.2.14; listed in Transport safety > Safety control subgroup","no","—","SCADA automated uptime monitoring; IT system health checks","high","D2.7 Group D, Subgroup Safety control; distinct from ict_network_uptime_E_ICT (row 66) — that measures event-specific telecom; this measures ongoing operational ICT uptime"
"162","Layer 1","KPI","input","General/Context","supply","D2.7","§E.1 Table 9.3","""Accessibility by car-driving — percentage of the population with access to a car or the travel time required to reach specific locations by car""","car_accessibility_index","Percentage of population with private car access, or average travel time by car to key destinations; captures car-dependent accessibility which may change during fuel/road disruptions","% with car access or minutes","city","annual","quasi-static","yes","annual","numeric","Census; household travel survey; GIS road network","partial","D2.7 catalogue KPI E.1.3","yes","per_capita_car_ownership","Household survey; census car ownership data","low","D2.7 Group E, Subgroup Accessibility"
"163","Layer 1","KPI","input","General/Context","supply","D2.7","§E.1 Table 9.3","""Accessibility for emergence rescue — timeliness of disaster relief efforts and the ability to access necessary emergency infrastructure within a given spatial distribution""","emergency_infrastructure_accessibility","Spatial accessibility score for emergency infrastructure (hospitals, fire stations, shelters) from all populated zones; inversely indicates rescue response capacity","minutes or % zones within threshold","city","annual","quasi-static","yes","annual","geospatial","GIS; emergency services locations; road network","partial","D2.7 catalogue KPI E.1.4","yes","emergency_vehicle_travel_time","GIS isochrone analysis; emergency facility locations","high","D2.7 Group E, Subgroup Accessibility; distinct from emergency_vehicle_travel_time (row 133) which is event-specific"
"164","Layer 1","KPI","input","General/Context","supply","D2.7","§E.1 Table 9.3","""Destination Accessibility — Total number of direct destinations accessible.""","destination_accessibility_count","Total number of directly reachable destinations (workplaces, services, leisure) accessible within a defined travel time threshold by available modes","count of destinations","neighbourhood","annual","quasi-static","yes","annual","numeric","GIS land use data; GTFS; road network","partial","D2.7 catalogue KPI E.1.5","yes","transport_accessibility","GIS accessibility model + land use layer","medium","D2.7 Group E, Subgroup Accessibility"
"165","Layer 1","KPI","input","General/Context","social","D2.7","§E.2 Table 9.3","""Feeling of safety during traveling — The proportion of individuals who feel protected from crime, threatening behaviour, and general safety concerns, typically measured through surveys and public perception studies.""","perceived_travel_safety","Survey-based proportion of travellers reporting feeling safe from crime, threatening behaviour, or general safety risks during their journeys","% respondents feeling safe","city","annual","quasi-static","yes","annual","numeric","Citizen travel surveys; perception studies","partial","D2.7 catalogue KPI E.2.1; commonly selected in survey","no","—","Travel safety perception survey; Likert-scale questionnaire","high","D2.7 Group E, Subgroup Public perception and satisfaction"
"166","Layer 1","KPI","input","General/Context","social","D2.7","§E.2 Table 9.3","""Mobility satisfaction — An indicator used to assess individuals' contentment with their mobility experiences, often measured through surveys using a five-point Likert scale.""","mobility_satisfaction_score","Mean user satisfaction with mobility experiences measured on a 5-point Likert scale; overall contentment with transport services, accessibility, and travel conditions","Likert score (1–5 scale)","city","annual","quasi-static","yes","annual","numeric","Citizen mobility satisfaction survey","partial","D2.7 catalogue KPI E.2.5; commonly selected in survey","no","—","Structured survey; 5-point Likert scale","high","D2.7 Group E, Subgroup Public perception; aggregates transport experience holistically"
"167","Layer 1","KPI","input","General/Context","social","D2.7","§E.2 Table 9.3","""Overall quality of life in the city — The perceived well-being, encompassing their satisfaction with physical, material, social, and emotional aspects of urban living.""","overall_quality_of_life_score","Composite perceived well-being indicator reflecting satisfaction with physical, material, social, and emotional aspects of urban living as influenced by mobility; measured through survey","Likert score or composite index","city","annual","quasi-static","yes","annual","numeric","Citizen survey; Eurobarometer; municipal survey","partial","D2.7 catalogue KPI E.2.12; commonly selected","no","—","Survey; composite quality-of-life instrument","medium","D2.7 Group E, Subgroup Public perception; broadest social outcome indicator"
"168","Layer 1","KPI","input","General/Context","economic","D2.7","§E.3 Table 9.3","""Passenger waiting costs — A cost-related indicator that quantifies the financial or economic disutility incurred by passengers due to time spent waiting for public transport.""","passenger_waiting_cost","Monetary valuation of time spent waiting for public transport, calculated using value-of-time parameters; represents economic disutility of service unreliability","EUR per passenger or EUR · h⁻¹ · city⁻¹","city","daily","dynamic","yes","daily","numeric","GTFS real-time; value-of-time surveys; operator punctuality records","not yet collected","D2.7 catalogue KPI E.3.1; commonly selected","yes","vehicle_travel_times","GTFS delay monitoring × value-of-time parameter","high","D2.7 Group E, Subgroup Transport costs; economic burden of service unreliability"
"169","Layer 1","KPI","input","General/Context","economic","D2.7","§E.3 Table 9.3","""Total Recovery Effort — The resource expenditures and costs attributed to recovery activities within resilience assessment, particularly for infrastructure systems.""","total_recovery_effort_cost","Total resource expenditure (personnel, materials, capital) attributed to post-disruption recovery activities for infrastructure and transport systems","EUR per event","city","irregular","dynamic","yes","per event","numeric","Municipal accounts; operator cost records; emergency management records","not yet collected","D2.7 catalogue KPI E.3.5","yes","emdat_reconstruction_cost_usd","Post-event cost accounting; operator records","high","D2.7 Group E, Subgroup Transport costs; directly measures recovery investment"
"170","Layer 1","KPI","input","General/Context","economic","D2.7","§E.3 Table 9.3","""Annual transportation expenditures per capita""","annual_transport_expenditure_per_capita","Total annual public and private expenditure on transportation per resident; proxy for investment level and affordability of transport system","EUR · person⁻¹ · year⁻¹","city","annual","quasi-static","yes","annual","numeric","Municipal accounts; national transport statistics; Eurostat","partial","D2.7 catalogue KPI E.3.14; commonly selected","no","—","Municipal accounts; transport authority financial reporting","medium","D2.7 Group E, Subgroup Transport costs"
"171","Layer 1","KPI","input","Structural Redundancy","infrastructure","D2.7","§F.1 Table 9.3","""Infrastructure spatial features — physical infrastructure supply including road length, operational roads, network features""","transport_infrastructure_spatial_coverage","Composite set of spatial infrastructure indicators: total road network length (km), network density (km/km²), PT route network length, PT stop coverage; key supply-side measures","km, km/km², count","city","annual","quasi-static","yes","annual","geospatial","Municipal GIS; national road authority; GTFS","available","D2.7 catalogue KPI F.1, Subgroup Transport infrastructure; 80% selection rate in survey","no","—","GIS network layer; GTFS route extraction","high","D2.7 Group F, Subgroup Transport infrastructure; consolidates multiple spatial infrastructure metrics"
"172","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§F.1 Table 9.3","""Public transport efficiency — performance of public transport services""","public_transport_efficiency","Composite measure of PT operational efficiency: ratio of revenue kilometres operated to total scheduled kilometres (reliability), combined with ridership-per-vehicle-km (productivity)","ratio [0,1] or passengers/veh-km","city","daily","dynamic","yes","daily","numeric","GTFS real-time; AFC; operator performance records","partial","D2.7 catalogue KPI F.1 subgroup; commonly selected","yes","avg_public_transport_speed","GTFS reliability monitoring; AFC ridership/vehicle-km","medium","D2.7 Group F, Subgroup Transport infrastructure"
"173","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§F.2 Table 9.3","""Land use and space consumption — land/space consumed by transport and parking (paved share, land consumption)""","transport_land_consumption_share","Proportion of urban land area consumed by transport infrastructure (roads, parking, railways) as fraction of total urban area; indicator of land-use efficiency and urban sprawl","% of urban area","city","annual","quasi-static","yes","annual","geospatial","Municipal GIS; Copernicus Urban Atlas; satellite imagery","available","D2.7 catalogue KPI F.2 (13 KPIs); population density only commonly selected","yes","population_density","GIS land cover analysis; remote sensing","low","D2.7 Group F, Subgroup Land use and space consumption"
"174","Layer 1","KPI","input","General/Context","environment","D2.7","§G.1 Table 9.3","""Energy Utilization — energy use, efficiency and fuel mix indicators in transport (incl. EV-related resilience)""","transport_energy_utilisation","Total energy consumed by the transport sector per period, disaggregated by fuel type (fossil, electric, renewable); indicator of sector efficiency and transition progress","MWh · year⁻¹ or MJ · person-km⁻¹","city","annual","dynamic","yes","annual","numeric","Energy utility records; transport operator fuel data; Eurostat","partial","D2.7 catalogue KPI G.1; 44% selection rate in survey","yes","ev_grid_resilience_E_energy","Energy utility reporting; transport operator records","medium","D2.7 Group G, Subgroup Energy consumption"
"175","Layer 1","KPI","input","General/Context","environment","D2.7","§G.1 Table 9.3","""Fossil fuel consumption in transportation""","fossil_fuel_consumption_transport","Volume of fossil fuels (petrol, diesel, LPG) consumed by transport sector per year; measures dependence on fossil fuels and vulnerability to supply disruption","litres/year or GJ/year","city","annual","dynamic","yes","annual","numeric","Energy utility records; operator fuel records; national statistics","partial","D2.7 catalogue KPI G.1 subgroup; commonly selected","yes","transport_energy_utilisation","Energy utility and transport operator reporting","medium","D2.7 Group G, Subgroup Energy consumption; disruption dimension: fuel supply disruption vulnerability"
"176","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§G.2 Table 9.3","""Density of public services within all area services""","public_service_density","Number of public services (healthcare, education, government, community) per km² of urban area; indicator of 15-min city readiness and resilience to mobility disruption","services/km²","city","annual","quasi-static","yes","annual","geospatial","Municipal GIS; national services register; OpenStreetMap","available","D2.7 catalogue KPI G.2 subgroup; commonly selected","yes","fifteen_min_city_accessibility_score","GIS service location analysis","medium","D2.7 Group G, Subgroup Urban and spatial planning"
"177","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§G.2 Table 9.3","""Greening coverage of built-up areas""","green_coverage_built_up_area","Proportion of built-up urban area covered by vegetation (trees, parks, green roofs) as measured by satellite or GIS; indicator of urban heat island mitigation and climate resilience","% of built-up area","city","annual","quasi-static","yes","annual","geospatial","Copernicus Urban Atlas; satellite imagery; municipal GIS","available","D2.7 catalogue KPI G.2 subgroup; commonly selected","yes","green_space_area_per_capita","Copernicus satellite analysis; GIS","medium","D2.7 Group G, Subgroup Urban and spatial planning; distinct from green_space_area_per_capita (row 12 in decomp framework)"
"178","Layer 1","KPI","input","General/Context","economic","D2.7","§G.3 Table 9.3","""Urban growth generated by transport sector""","transport_sector_gdp_contribution","Contribution of the transport sector to urban economic output (GDP or GVA); proxy for economic dependence on transport and vulnerability to transport disruptions","EUR · year⁻¹ or % of city GDP","city","annual","quasi-static","yes","annual","numeric","National accounts; transport operator financial reporting; Eurostat","partial","D2.7 catalogue KPI G.3 subgroup; 100% selection rate","no","—","National accounts; transport authority financial reporting","medium","D2.7 Group G, Subgroup Economic growth"
"179","Layer 1","KPI","input","General/Context","economic","D2.7","§G.3 Table 9.3","""Net public finance — macro-economic context indicator relevant to mobility""","net_public_transport_finance","Net public financial balance for the transport sector: public transport revenues minus public expenditures; indicator of financial sustainability and investment capacity","EUR · year⁻¹","city","annual","quasi-static","yes","annual","numeric","Municipal accounts; transport authority financial reporting","partial","D2.7 catalogue KPI G.3 subgroup; 100% selection rate","no","—","Municipal financial reporting","low","D2.7 Group G, Subgroup Economic growth"
"180","Layer 1","KPI","input","General/Context","supply","D2.7","§D.1 Table 9.3","""Traffic conflicts — near-miss incidents between road users""","traffic_conflict_rate","Rate of near-miss incidents (conflict points) between road users per vehicle-kilometre or per time period; precursor indicator to actual accidents","conflicts per 10⁶ vehicle-km","corridor","irregular","dynamic","yes","annual","numeric","Video monitoring; conflict study methodology; police near-miss reports","partial","D2.7 catalogue KPI D.1.2; commonly selected","yes","accident_rate","Video-based traffic conflict study","medium","D2.7 Group D, Subgroup Traffic accidents; leading indicator before accidents occur"
"181","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§D.1 Table 9.3","""Crash Count — number of crashes in a defined area and period""","crash_count","Absolute number of road crashes (all severities) recorded in the study area within a defined time period","count","city","annual","dynamic","yes","annual","numeric","Police accident database; transport authority records","available","D2.7 catalogue KPI D.1.6; commonly selected (70% of respondents)","no","—","Police accident database; CARE EU database","high","D2.7 Group D, Subgroup Traffic accidents; raw count complementing rate-based accident_rate"
"182","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§D.2 Table 9.3","""Security — security-related incidents and perceived security of the transport system""","transport_security_incident_rate","Rate of security-related incidents (crime, threats, vandalism) on or affecting public transport per period; indicator of system safety beyond traffic accidents","incidents per year or per 10⁶ passengers","city","annual","dynamic","yes","annual","numeric","Police records; transport operator security records; survey","partial","D2.7 catalogue KPI D.2 Subgroup Security; 67% selection rate","yes","perceived_travel_safety","Police records; operator incident reporting","medium","D2.7 Group D, Subgroup Security"
"183","Layer 1","KPI","input","General/Context","supply","D2.7","§C.2 Table 9.3","""Waiting time — time passengers spend waiting for public transport""","average_passenger_waiting_time","Mean time passengers wait for public transport services (bus, metro, tram) at stops; indicator of service frequency reliability","minutes","node","daily","dynamic","yes","daily","numeric","GTFS real-time; passenger counting; manual observation","partial","D2.7 catalogue KPI C.2 subgroup (Travel times and delays); commonly selected","yes","congestion_and_delays","GTFS real-time monitoring; on-board passenger counters","high","D2.7 Group C, Subgroup Travel times; distinct from vehicle_travel_times and passenger_waiting_cost"
"184","Layer 1","KPI","input","General/Context","supply","D2.7","§C.2 Table 9.3","""Average daily trip duration per person""","avg_daily_trip_duration_per_person","Mean total time spent travelling per person per day across all modes and trip purposes","minutes · person⁻¹ · day⁻¹","city","daily","dynamic","yes","daily","numeric","Household travel survey; GPS travel diary; mobile phone CDR","not yet collected","D2.7 catalogue KPI C.2 subgroup; commonly selected","yes","vehicle_travel_times","Household travel diary; mobile phone CDR","medium","D2.7 Group C, Subgroup Travel times; per-person aggregate"
"185","Layer 1","KPI","input","General/Context","demand","D2.7","§C.3 Table 9.3","""PRT Travel demand — paratransit / demand-responsive transport demand""","paratransit_demand","Volume of trips made by demand-responsive or paratransit services per day; indicator of specialised mobility provision for vulnerable populations","trips/day","city","daily","dynamic","yes","daily","numeric","Paratransit operator records; booking data","not yet collected","D2.7 catalogue KPI C.3 subgroup","no","—","Operator booking records","low","D2.7 Group C, Subgroup Travel demand; specific to DRT/paratransit context"
"186","Layer 1","KPI","input","General/Context","infrastructure","D2.7","§D.1 Table 9.3","""Per capita car ownership — The number of vehicles owned per person within a population, serving as an indicator of private vehicle prevalence.""","per_capita_car_ownership","Number of registered private vehicles per 1,000 inhabitants; indicator of car dependency and private vehicle demand patterns","vehicles per 1,000 inhabitants","city","annual","quasi-static","yes","annual","numeric","National vehicle registration database; census","available","D2.7 catalogue KPI D.1.9","no","—","National vehicle registration data","medium","D2.7 Group D, Subgroup Traffic accidents; also relevant to demand modelling and car_accessibility_index"
"187","Layer 2","computed_variable","output","Structural Redundancy","infrastructure","D3.2 · D3.2 (Annex B Indicator S1: formally defined with formula Ii = wa·Ia + wm·Im + wd·Id)","§Annex B, Indicator S1","""Infrastructure condition index I(t): Normalized measure of physical infrastructure condition, considering age, maintenance state, and design standards. Formula: Ii(t) = wa·Ia(t) + wm·Im(t) + wd·Id(t); weights default: 0.3, 0.4, 0.3""","infrastructure_condition_index_I","Normalised composite measure of physical infrastructure condition per network element; components: age-based condition Ia (= 1 − age/design_life), maintenance quality score Im (0=poor, 1=excellent), design standard adequacy Id (0=obsolete, 1=modern); default weights wa=0.3, wm=0.4, wd=0.3","dimensionless [0,1]","corridor","annual","quasi-static","yes","annual / per inspection","numeric","Infrastructure asset management systems; inspection records; design documentation","not yet collected","D3.2 Annex B Indicator S1; higher = better condition; vulnerability interpretation: Susi = 1 − I","no","—","Weighted composite from asset management records; inspection reports","high","D3.2 Susceptibility Indicator S1; richer formulation than D2.3 S(t) which uses v/c ratio; distinct from network_stress_S; explicitly called out as Annex B extension"
"188","Layer 2","computed_variable","output","General/Context","supply","D3.2","§Annex B, Indicator S3","""Reliability index Tr(t): Temporal consistency of travel times, inverse of coefficient of variation. Formula: Tr,i(t) = 1/(1 + CVti) where CVti = σti/µti""","travel_time_reliability_index_Tr","Inverse of coefficient of variation of link-level travel times; Tr = 1/(1 + CV) where CV = σ/µ of travel times; higher = more reliable; lower reliability → higher susceptibility to disruption","dimensionless [0,1]","corridor","daily","dynamic","yes","daily","numeric","GPS/probe vehicle data; repeated travel time surveys; historical records","partial","D3.2 Annex B Indicator S3; normalised via formula; example: CV=0.32 → Tr=0.76","yes","vehicle_travel_times","GPS probe vehicle data; repeated travel time measurement","high","D3.2 Susceptibility Indicator S3; new variable — not in inventories v1/v2; captures travel time variability not just mean"
"189","Layer 2","computed_variable","output","Stressor Response","disruption","D3.2","§Annex B, Indicator E1","""Hazard overlap factor ωi,s: Proportion of area served by element i that falls within hazard footprint under scenario s. Formula: ωi,s = Areaserved∩hazard / Areaserved,total; GIS overlay analysis""","hazard_overlap_factor","Proportion of the service catchment area of a network element that overlaps with the hazard footprint for scenario s; computed by GIS overlay of element catchment (e.g., 800m buffer for PT stop) against hazard map (flood zone, heat island); range [0,1]","dimensionless [0,1]","corridor","irregular","dynamic","yes","per scenario","geospatial","Hazard maps (flood, heat, air quality); network GIS; catchment area analysis","not yet collected","D3.2 Annex B Indicator E1; exposure indicator; example: 1.4 km² of 2 km² service area in floodplain → ω=0.70","no","—","GIS overlay: element catchment × hazard footprint map","high","D3.2 Exposure Indicator E1; genuinely new; not in prior inventories"
"190","Layer 2","computed_variable","output","Stressor Response","disruption","D3.2","§Annex B, Indicator E2","""Dependency index Di(t): Criticality of element based on number and characteristics of users/functions depending on it. Formula: Di(t) = α·(fi/Σfj) + β·(Ncritical,i/Ncritical,total); default α=0.6, β=0.4""","element_dependency_index","Composite index of element criticality combining flow share (fi/Σfj, proportion of total network flow) and critical facility share (Ncritical,i/Ncritical,total, hospitals, emergency services, schools served); default weights α=0.6, β=0.4","dimensionless [0,1]","corridor","annual","quasi-static","yes","annual","numeric","Traffic counts; critical facility locations (GIS); access analysis","not yet collected","D3.2 Annex B Indicator E2; example: 5% city flow + serves 2 of 5 hospitals → D=0.6×0.05+0.4×0.4=0.19","yes","betweenness_centrality","Traffic count + GIS critical facility overlay","high","D3.2 Exposure Indicator E2; new variable; distinct from hazard_overlap_factor and effective_disturbance_D_eff"
"191","Layer 2","input_variable","input","Stressor Response","disruption","D3.2","§Stage 3, Table 3","""Expi,s = (flowi/max_flow) × Deff,s — exposure component combining flow share and disruption disturbance magnitude""","exposure_component_Exp","Element-level exposure for scenario s: product of the element's share of maximum network flow and the scenario's effective disturbance magnitude D_eff,s; used in element vulnerability formula vi,s","dimensionless [0,1]","corridor","irregular","dynamic","yes","per scenario","numeric","Traffic counts; D2.3 D_eff output","not yet collected","D3.2 Table 3 measurement logic; direct input to vulnerability formula","no","—","Computed: (flowi/max_flow) × D_eff,s per scenario","high","D3.2 operationalisation of exposure component for vulnerability formula; new computed variable"
"192","Layer 2","computed_variable","output","Structural Redundancy","supply","D3.2","§Annex B, Indicator R1","""Network redundancy index R(t): Availability of alternative paths/modes, normalized by optimal redundancy level. Formula: Ri(t) = 1 − 1/(1 + Nalt,i); Viable = path with travel time ≤ 1.5× shortest path""","network_redundancy_index_Ri","Element-level redundancy: proportion of viable alternative paths available for trips using element i, where viable is defined as travel time ≤ 1.5× shortest path; Ri = 1 − 1/(1 + Nalt,i); 0 = no alternatives, 1 = many alternatives","dimensionless [0,1]","corridor","irregular","quasi-static","yes","per scenario","numeric","Network topology analysis; path enumeration algorithms","not yet collected","D3.2 Annex B Indicator R1; example: 3 alternative routes → R=1−1/(1+3)=0.75; viable threshold ≤1.5× shortest","no","—","Network path enumeration; GIS topology analysis","high","D3.2 Redundancy Indicator R1; element-level operationalisation of D2.3 R(t); provides the per-element formula not in prior inventories; new variable (D2.3 R(t) is city-level ratio)"
"193","Layer 2","computed_variable","output","Structural Redundancy","supply","D3.2","§Annex B, Indicator R2","""Network entropy C(t): Diversity of flow distribution across network, based on information entropy. Formula: C(t) = −Σi pi·log(pi)/log(N); pi = fi/Σjfj; N = total number of links""","network_entropy_link_flow","Link-level Shannon entropy of flow distribution normalised by log(N) where N = total number of links; pi = fi/Σfj (proportion of flow on link i); higher entropy = flows spread across many links = better redundancy","dimensionless [0,1]","city","daily","dynamic","yes","daily","numeric","Link flow data from traffic assignment model; loop detectors","partial","D3.2 Annex B Indicator R2; example: 100 links, fairly distributed → C≈0.85; concentrated → C≈0.40","no","—","Traffic assignment model output; link flow aggregation","high","D3.2 Redundancy Indicator R2; uses link-level flows (fi/Σfj) — distinct from D2.3 C(t) which uses OD-matrix flows; same formula applied at different aggregation level"
"194","Layer 2","computed_variable","output","Adaptive Capacity","supply","D3.2","§Annex B, Indicator A1","""Adaptation velocity A(t): Speed at which system responds to and learns from disruptions. Formula: A(t) = (1/Tresponse) × (ΔErecovery/trecovery)""","adaptation_velocity_A_d32","Speed of system response and learning: product of inverse response time (1/Tresponse) and recovery performance rate (ΔErecovery/trecovery); Tresponse = time to initial response; ΔErecovery = performance improvement during recovery; trecovery = recovery duration","composite [0,∞)","city","irregular","dynamic","yes","per event","numeric","Emergency dispatch logs; performance monitoring records; SUMA logs","not yet collected","D3.2 Annex B Indicator A1; distinct from D2.3 A(t) which is ∂(modal share diversity)/∂t","no","—","Performance monitoring: timestamp of response + Evuln trajectory","high","D3.2 Adaptive capacity Indicator A1; new formulation — D2.3 A(t) uses modal share diversity rate; this uses response-time × recovery-rate; record as distinct variable"
"195","Layer 2","computed_variable","output","Structural Redundancy","supply","D3.2","§Stage 3, Table 3","""Redi = (Ri+Ci+Ii)/3 — equal weighting of path, entropy, and intermodal components""","redundancy_composite_Redi","Element-level redundancy composite: arithmetic mean of network redundancy index R(t), network entropy C(t), and intermodal synergy I(t) for element i; used in element vulnerability formula","dimensionless [0,1]","corridor","irregular","quasi-static","yes","per scenario","numeric","D3.2 component indicators R, C, I","not yet collected","D3.2 Table 3; equal weighting is default; correlated failures not modelled","no","—","Computed from R, C, I per element","high","D3.2 composite redundancy for element vulnerability formula; new aggregation construct"
"196","Layer 2","computed_variable","output","Adaptive Capacity","supply","D3.2","§Stage 3, Table 3","""Capi = Ai (or average if infrastructure KPIs available): Capi = (Ai + Ii)/2 from adaptation KPIs""","adaptive_capacity_composite_Capi","Element-level adaptive capacity: A(t) alone if infrastructure KPIs unavailable; (Ai + Ii)/2 if E_energy and E_ICT available; used in element vulnerability formula; higher = better adaptive capacity","dimensionless [0,1]","corridor","irregular","quasi-static","yes","per scenario","numeric","D3.2 adaptation velocity A(t); E_energy; E_ICT","not yet collected","D3.2 Table 3; relies on A(t) as proxy for institutional learning (limitation noted)","no","—","Computed from available adaptive capacity indicators per element","high","D3.2 composite adaptive capacity for vulnerability formula; new construct"
"197","Layer 2","computed_variable","output","General/Context","disruption","D3.2","§Stage 3, Equation 8","""vi,s = αs × Susi × Expi,s × (1 − Redi) × (1 − Capi) — element-level vulnerability score""","element_vulnerability_score","Multiplicative element-level vulnerability score for element i under scenario s; components: scenario severity multiplier αs, susceptibility Susi, exposure Expi,s, (1−redundancy), (1−adaptive capacity); perfect redundancy or adaptive capacity → zero vulnerability","dimensionless [0,1]","corridor","irregular","dynamic","yes","per scenario","numeric","All component indicators: S, R, C, I, A, E_energy, E_ICT, hazard maps","not yet collected","D3.2 Equation 8; key output of Stage 3; provides hotspot identification per element","no","—","Computed multiplicatively from component indicators per scenario","high","D3.2 primary output variable; element-level vulnerability; new variable not in prior inventories"
"198","Layer 2","computed_variable","output","General/Context","disruption","D3.2","§Stage 3, Equation 9","""Vs = Σi wi·vi,s — system vulnerability index; wi = β·(flowi/total_flow) + (1−β)·criti; β=0.7 default""","system_vulnerability_index_Vs","System-level aggregate vulnerability for scenario s: flow- and criticality-weighted sum of element vulnerabilities; weights wi = 0.7·(flow share) + 0.3·(criticality score criti); Σwi = 1","dimensionless [0,1]","city","irregular","dynamic","yes","per scenario","numeric","All element vulnerability scores vi,s; flow data; criticality scores","not yet collected","D3.2 Equation 9; primary cross-scenario and cross-city comparison metric","no","—","Weighted aggregation of element vulnerability scores","high","D3.2 system-level vulnerability index; complements ΔEs"
